,Day,yyyy_mm_dd,facility_county,ENCOUNTER_FACILITY_NAME,ENCOUNTER_FACILITY_STREET,ENCOUNTER_FACILITY_CITY,ENCOUNTER_FACILITY_STATE,ENCOUNTER_FACILITY_ZIP,mem_cnt,covid19_related_mem_cnt
2146,03-02,2020-03-02,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,7,0.0
2147,03-02,2020-03-02,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,2,1.0
2148,03-05,2020-03-05,Worcester,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,5,0.0
2149,03-06,2020-03-06,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,5,0.0
2150,03-06,2020-03-06,Hampden,Life Care Center of Wilbraham - SNF,2399 Boston Rd,Wilbraham,MA,01095,1,1.0
2151,03-07,2020-03-07,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,40,7.0
2152,03-07,2020-03-07,Suffolk,Tufts Medical Center,"800 Washington St,",Boston,MA,02111,3,0.0
2153,03-11,2020-03-11,Norfolk,Steward Satellite Emergency Facility - Quincy (Carney Hospital),114 Whitwell St.,Quincy,MA,02169,1,0.0
2154,03-15,2020-03-15,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,2,0.0
2155,03-25,2020-03-25,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,4,0.0
2156,03-29,2020-03-29,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,2,0.0
2157,01-07,2020-01-07,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,8,0.0
2158,01-08,2020-01-08,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,4,0.0
2159,01-08,2020-01-08,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,3,0.0
2160,01-14,2020-01-14,Worcester,Heywood Hospital,242 Green Street,Gardner,MA,01440,3,0.0
2161,01-18,2020-01-18,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,2,0.0
2162,01-26,2020-01-26,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,1,0.0
2163,01-27,2020-01-27,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,5,0.0
2164,01-27,2020-01-27,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,3,1.0
2165,01-28,2020-01-28,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,3,1.0
2166,02-03,2020-02-03,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,1,0.0
2167,02-05,2020-02-05,Franklin,Charlene Manor Extended Care,130 Colrain Rd.,Greenfield,MA,01301,1,0.0
2168,02-25,2020-02-25,Essex,NHA-Country Center for Health & Rehab - SNF,180 Low St,Newburyport,MA,01950,1,0.0
2169,03-06,2020-03-06,Norfolk,Steward Satellite Emergency Facility - Quincy (Carney Hospital),114 Whitwell St.,Quincy,MA,02169,1,0.0
2170,03-19,2020-03-19,Suffolk,Tufts Medical Center,"800 Washington St,",Boston,MA,02111,3,0.0
2171,03-20,2020-03-20,Hampshire,Baystate Mary Lane Outpatient Center,85 South St,Ware,MA,01082,3,0.0
2172,03-29,2020-03-29,Middlesex,UMass Memorial - Marlborough,159 Union St Suite 103,Marlborough,MA,01752,1,1.0
2173,03-29,2020-03-29,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,2,1.0
2174,01-04,2020-01-04,Essex,Anna Jaques Hospital,25 Highland Ave,Newburyport,MA,01950,3,0.0
2175,01-05,2020-01-05,Worcester,Saint Vincent Hospital,123 Summer St.,Worchester,MA,01608,7,0.0
2176,01-09,2020-01-09,Middlesex,UMass Memorial - Marlborough,159 Union St Suite 103,Marlborough,MA,01752,1,1.0
2177,01-14,2020-01-14,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,8,0.0
2178,01-14,2020-01-14,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,21,7.0
2179,01-17,2020-01-17,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,6,5.0
2180,01-20,2020-01-20,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,5,3.0
2181,01-22,2020-01-22,Essex,Prescott House,140 Prescott Street,North Andover,MA,01845,1,1.0
2182,01-23,2020-01-23,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,7,5.0
2183,01-29,2020-01-29,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,5,1.0
2184,01-30,2020-01-30,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,8,0.0
2185,01-31,2020-01-31,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,8,0.0
2186,02-02,2020-02-02,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,4,1.0
2187,02-07,2020-02-07,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,5,1.0
2188,02-11,2020-02-11,Suffolk,Brigham And Women's Hospital,75 Francis St,Boston,MA,02115,11,3.0
2189,02-16,2020-02-16,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,2,0.0
2190,02-21,2020-02-21,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,4,0.0
2191,02-25,2020-02-25,Suffolk,Brigham and Women's Faulkner Hospital,1153 Centre St,Boston,MA,02130,1,0.0
2192,03-01,2020-03-01,Suffolk,Brigham and Women's Faulkner Hospital,1153 Centre St,Boston,MA,02130,2,1.0
2193,03-02,2020-03-02,Essex,Lahey Hospital - Peabody,1 Essex Center Dr,Peabody,MA,01960,1,1.0
2194,03-04,2020-03-04,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,4,1.0
2195,03-05,2020-03-05,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,21,6.0
2196,03-19,2020-03-19,Middlesex,Lowell General Saints Campus,1 Hospital Dr,Lowell,MA,01852,1,0.0
2197,03-24,2020-03-24,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,8,0.0
2198,01-01,2020-01-01,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,1,0.0
2199,01-09,2020-01-09,Essex,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,1,1.0
2200,01-09,2020-01-09,Hampshire,Baystate Mary Lane Outpatient Center,85 South St,Ware,MA,01082,5,0.0
2201,01-11,2020-01-11,Middlesex,Metrowest Medical Center - Framingham,115 LINCOLN ST,FRAMINGHAM,MA,01702,2,0.0
2202,01-13,2020-01-13,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,4,0.0
2203,01-15,2020-01-15,Hampden,Baystate Noble Hospital,115 West Silver Street,Westfield,MA,01085,3,0.0
2204,01-23,2020-01-23,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,9,0.0
2205,01-27,2020-01-27,Norfolk,Steward Satellite Emergency Facility - Quincy (Carney Hospital),114 Whitwell St.,Quincy,MA,02169,1,0.0
2206,01-28,2020-01-28,Essex,Beverly Hospital,85 Herrick St,Beverly,MA,01915,8,2.0
2207,01-31,2020-01-31,Suffolk,Brigham And Women's Hospital,75 Francis St,Boston,MA,02115,12,2.0
2208,02-01,2020-02-01,Worcester,Life Care Center of Auburn - SNF,14 Masonic Cir,Auburn,MA,01501,1,0.0
2209,02-13,2020-02-13,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,1,1.0
2210,02-18,2020-02-18,Essex,Beverly Hospital,85 Herrick St,Beverly,MA,01915,3,1.0
2211,03-04,2020-03-04,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,5,2.0
2212,03-05,2020-03-05,Essex,Next Step - Gloucester HealthCare - SNF,272 Washington St.,Gloucester,MA,01930,1,0.0
2213,03-05,2020-03-05,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,7,0.0
2214,03-08,2020-03-08,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,2,1.0
2215,03-16,2020-03-16,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,6,4.0
2216,03-22,2020-03-22,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,1,0.0
2217,01-04,2020-01-04,Hampden,Day Brook Village Senior Living,"298 Jarvis Ave,",Holyoke,MA,01040,1,0.0
2218,01-04,2020-01-04,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,4,0.0
2219,01-17,2020-01-17,Norfolk,Next Step - Walpole HealthCare - SNF,160 Main St.,Walpole,MA,02081,1,0.0
2220,01-21,2020-01-21,Franklin,Charlene Manor Extended Care,130 Colrain Rd.,Greenfield,MA,01301,1,0.0
2221,01-21,2020-01-21,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,11,7.0
2222,01-23,2020-01-23,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,2,2.0
2223,01-24,2020-01-24,Suffolk,Tufts Medical Center,"800 Washington St,",Boston,MA,02111,2,0.0
2224,02-04,2020-02-04,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,5,0.0
2225,02-04,2020-02-04,Middlesex,UMass Memorial - Marlborough,159 Union St Suite 103,Marlborough,MA,01752,3,2.0
2226,02-13,2020-02-13,Plymouth,Life Care Center of Plymouth - SNF,94 Obery St,Plymouth,MA,02360,1,1.0
2227,03-06,2020-03-06,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,1,0.0
2228,03-09,2020-03-09,Worcester,Harrington HealthCare at Webster,340 Thompson Road,Webster,MA,01570,1,0.0
2229,03-16,2020-03-16,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,4,2.0
2230,03-17,2020-03-17,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,6,2.0
2231,03-20,2020-03-20,Plymouth,Life Care Center of Plymouth - SNF,94 Obery St,Plymouth,MA,02360,1,0.0
2232,03-23,2020-03-23,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,3,0.0
2233,03-27,2020-03-27,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,1,0.0
2234,01-04,2020-01-04,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,1,0.0
2235,01-06,2020-01-06,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,4,0.0
2236,01-10,2020-01-10,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,3,0.0
2237,01-10,2020-01-10,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,3,0.0
2238,01-15,2020-01-15,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,5,1.0
2239,01-16,2020-01-16,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,2,0.0
2240,01-16,2020-01-16,Worcester,Heywood Hospital,242 Green Street,Gardner,MA,01440,1,0.0
2241,01-17,2020-01-17,Worcester,Life Care Center of Auburn - SNF,14 Masonic Cir,Auburn,MA,01501,2,1.0
2242,01-18,2020-01-18,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,7,0.0
2243,01-18,2020-01-18,Plymouth,Tobey Hospital,43 High Street,Wareham,MA,02571,1,1.0
2244,01-20,2020-01-20,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,13,7.0
2245,01-31,2020-01-31,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,5,2.0
2246,02-03,2020-02-03,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,2,0.0
2247,02-13,2020-02-13,Worcester,Heywood Hospital,242 Green Street,Gardner,MA,01440,3,0.0
2248,02-23,2020-02-23,Worcester,Heywood Hospital,242 Green Street,Gardner,MA,01440,3,0.0
2249,02-25,2020-02-25,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,6,1.0
2250,02-28,2020-02-28,Worcester,UMass Memorial ED,119 Belmont St,Worcester,MA,01605,1,1.0
2251,03-03,2020-03-03,Plymouth,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,9,0.0
2252,03-04,2020-03-04,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,8,1.0
2253,03-10,2020-03-10,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,5,0.0
2254,03-15,2020-03-15,Essex,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,2,0.0
2255,03-15,2020-03-15,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,1,0.0
2256,03-16,2020-03-16,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,1,0.0
2257,03-18,2020-03-18,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,2,1.0
2258,03-22,2020-03-22,Worcester,UMass Memorial - Leominster Urgent Care,510 N Main St.,Leominster,MA,01453,1,0.0
2259,03-23,2020-03-23,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,3,0.0
2260,03-24,2020-03-24,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,2,0.0
2261,01-03,2020-01-03,Suffolk,Brigham And Women's Hospital,75 Francis St,Boston,MA,02115,4,1.0
2262,01-09,2020-01-09,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,7,0.0
2263,01-13,2020-01-13,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,12,3.0
2264,01-18,2020-01-18,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,6,0.0
2265,01-29,2020-01-29,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,13,0.0
2266,02-01,2020-02-01,Worcester,UMass Memorial - Leominster Urgent Care,510 N Main St.,Leominster,MA,01453,2,2.0
2267,02-09,2020-02-09,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,3,2.0
2268,02-10,2020-02-10,Plymouth,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,8,0.0
2269,02-11,2020-02-11,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,1,0.0
2270,02-18,2020-02-18,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,3,0.0
2271,02-20,2020-02-20,Worcester,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,1,0.0
2272,03-04,2020-03-04,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,3,2.0
2273,03-09,2020-03-09,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,2,0.0
2274,03-10,2020-03-10,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,5,2.0
2275,03-14,2020-03-14,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,3,1.0
2276,03-15,2020-03-15,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,10,0.0
2277,03-22,2020-03-22,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,2,1.0
2278,03-24,2020-03-24,Plymouth,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,7,0.0
2279,03-26,2020-03-26,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,7,0.0
2280,01-03,2020-01-03,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,11,4.0
2281,01-06,2020-01-06,Worcester,Harrington HealthCare at Webster,340 Thompson Road,Webster,MA,01570,1,0.0
2282,01-11,2020-01-11,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,6,3.0
2283,01-13,2020-01-13,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,2,1.0
2284,01-16,2020-01-16,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,1,0.0
2285,01-18,2020-01-18,Suffolk,Brigham And Women's Hospital,75 Francis St,Boston,MA,02115,13,3.0
2286,01-23,2020-01-23,0,Harrington Hospital,100 South Street,Southbridge,MA,1550,1,0.0
2287,01-23,2020-01-23,Suffolk,Brigham and Women's Faulkner Hospital,1153 Centre St,Boston,MA,02130,2,0.0
2288,01-26,2020-01-26,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,6,0.0
2289,01-27,2020-01-27,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,6,3.0
2290,01-28,2020-01-28,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,3,0.0
2291,01-30,2020-01-30,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,6,0.0
2292,02-13,2020-02-13,Middlesex,Melrose-Wakefield Medical,888 Main Street,Wakefield,MA,01880,1,0.0
2293,02-21,2020-02-21,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,1,0.0
2294,03-01,2020-03-01,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,10,0.0
2295,03-06,2020-03-06,Suffolk,Brigham and Women's Faulkner Hospital,1153 Centre St,Boston,MA,02130,4,1.0
2296,03-24,2020-03-24,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,7,3.0
2297,03-25,2020-03-25,Worcester,Harrington HealthCare at Webster,340 Thompson Road,Webster,MA,01570,1,0.0
2298,01-04,2020-01-04,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,8,0.0
2299,01-07,2020-01-07,Worcester,UMass Memorial ED,119 Belmont St,Worcester,MA,01605,2,2.0
2300,01-09,2020-01-09,Worcester,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,3,0.0
2301,01-11,2020-01-11,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,3,0.0
2302,01-20,2020-01-20,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,2,1.0
2303,01-28,2020-01-28,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,6,4.0
2304,01-28,2020-01-28,Middlesex,Athena Healthcare - Northwood Rehabilitation & Health Care Center - SNF,1010 Varnum Ave,Lowell,MA,01854,1,1.0
2305,01-29,2020-01-29,Hampshire,Baystate Mary Lane Outpatient Center,85 South St,Ware,MA,01082,4,0.0
2306,02-11,2020-02-11,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,6,3.0
2307,02-13,2020-02-13,Hampshire,Baystate Mary Lane Outpatient Center,85 South St,Ware,MA,01082,1,0.0
2308,02-21,2020-02-21,Middlesex,Metrowest Medical Center - Framingham,115 LINCOLN ST,FRAMINGHAM,MA,01702,4,0.0
2309,03-08,2020-03-08,Worcester,UMass Memorial - Leominster Urgent Care,510 N Main St.,Leominster,MA,01453,1,0.0
2310,03-10,2020-03-10,Suffolk,Brighton House Rehab & Nursing Center - SNF,170 Corey Rd,Brighton,MA,02135,1,1.0
2311,03-14,2020-03-14,Plymouth,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,7,0.0
2312,03-19,2020-03-19,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,1,0.0
2313,03-21,2020-03-21,Hampshire,Linda Manor Extended Care Facility,345 Haydenville Road,Leeds,MA,01053,1,1.0
2314,01-11,2020-01-11,Worcester,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,5,0.0
2315,01-17,2020-01-17,Norfolk,Steward Satellite Emergency Facility - Quincy (Carney Hospital),114 Whitwell St.,Quincy,MA,02169,1,0.0
2316,01-22,2020-01-22,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,17,7.0
2317,01-26,2020-01-26,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,3,0.0
2318,01-31,2020-01-31,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,3,0.0
2319,02-01,2020-02-01,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,7,1.0
2320,02-04,2020-02-04,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,3,0.0
2321,02-06,2020-02-06,Worcester,UMass Memorial ED,119 Belmont St,Worcester,MA,01605,2,1.0
2322,02-20,2020-02-20,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,1,0.0
2323,03-05,2020-03-05,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,12,5.0
2324,03-08,2020-03-08,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,4,1.0
2325,03-27,2020-03-27,Middlesex,UMass Memorial - Marlborough,159 Union St Suite 103,Marlborough,MA,01752,2,1.0
2326,01-04,2020-01-04,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,6,3.0
2327,01-09,2020-01-09,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,6,2.0
2328,01-14,2020-01-14,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,1,1.0
2329,01-17,2020-01-17,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,3,0.0
2330,01-18,2020-01-18,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,4,0.0
2331,01-21,2020-01-21,Norfolk,Steward Satellite Emergency Facility - Quincy (Carney Hospital),114 Whitwell St.,Quincy,MA,02169,2,0.0
2332,01-31,2020-01-31,Worcester,Athol Hospital,2033 Main St,Athol,MA,01331,2,0.0
2333,02-03,2020-02-03,Worcester,Harrington HealthCare at Webster,340 Thompson Road,Webster,MA,01570,1,0.0
2334,02-04,2020-02-04,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,3,0.0
2335,02-07,2020-02-07,Worcester,Saint Vincent Hospital,123 Summer St.,Worchester,MA,01608,4,0.0
2336,02-09,2020-02-09,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,7,0.0
2337,02-11,2020-02-11,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,10,2.0
2338,02-16,2020-02-16,Middlesex,Melrose-Wakefield Medical,888 Main Street,Wakefield,MA,01880,2,0.0
2339,02-16,2020-02-16,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,1,0.0
2340,02-20,2020-02-20,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,4,1.0
2341,02-23,2020-02-23,Essex,Anna Jaques Hospital,25 Highland Ave,Newburyport,MA,01950,4,0.0
2342,02-23,2020-02-23,Middlesex,Lowell General Saints Campus,1 Hospital Dr,Lowell,MA,01852,2,0.0
2343,02-25,2020-02-25,Plymouth,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,10,0.0
2344,03-01,2020-03-01,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,5,0.0
2345,03-07,2020-03-07,Suffolk,Brigham and Women's Faulkner Hospital,1153 Centre St,Boston,MA,02130,5,3.0
2346,03-08,2020-03-08,Worcester,Life Care Center of Leominster - SNF,370 West St.,Leominster,MA,01453,1,1.0
2347,03-15,2020-03-15,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,5,2.0
2348,03-23,2020-03-23,Worcester,UMass Memorial ED,119 Belmont St,Worcester,MA,01605,1,1.0
2349,03-26,2020-03-26,Hampden,East Longmeadow Skilled Nursing Center,305 Maple St.,East Longmeadow,MA,01028,1,0.0
2350,01-01,2020-01-01,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,1,0.0
2351,01-01,2020-01-01,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,6,1.0
2352,01-24,2020-01-24,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,6,3.0
2353,02-01,2020-02-01,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,6,1.0
2354,02-04,2020-02-04,Middlesex,Melrose-Wakefield Medical,888 Main Street,Wakefield,MA,01880,1,0.0
2355,02-25,2020-02-25,Worcester,Life Care Center of Auburn - SNF,14 Masonic Cir,Auburn,MA,01501,1,0.0
2356,03-01,2020-03-01,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,5,0.0
2357,03-04,2020-03-04,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,5,0.0
2358,03-04,2020-03-04,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,7,0.0
2359,03-08,2020-03-08,Plymouth,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,6,0.0
2360,03-12,2020-03-12,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,10,5.0
2361,01-03,2020-01-03,Middlesex,UMass Memorial - Marlborough,159 Union St Suite 103,Marlborough,MA,01752,2,2.0
2362,01-09,2020-01-09,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,3,0.0
2363,01-17,2020-01-17,Worcester,Athol Hospital,2033 Main St,Athol,MA,01331,1,0.0
2364,01-25,2020-01-25,Worcester,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,2,2.0
2365,01-26,2020-01-26,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,3,3.0
2366,01-30,2020-01-30,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,2,0.0
2367,02-01,2020-02-01,Worcester,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,1,1.0
2368,02-02,2020-02-02,Suffolk,Brigham And Women's Hospital,75 Francis St,Boston,MA,02115,10,3.0
2369,02-04,2020-02-04,Hampden,Baystate Noble Hospital,115 West Silver Street,Westfield,MA,01085,2,0.0
2370,02-06,2020-02-06,0,Next Step - South Dennis HealthCare - SNF,1 Love Ln,South Dennis,MA,02660`,1,0.0
2371,02-10,2020-02-10,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,4,0.0
2372,02-13,2020-02-13,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,3,0.0
2373,02-18,2020-02-18,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,5,0.0
2374,02-20,2020-02-20,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,5,2.0
2375,02-21,2020-02-21,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,1,0.0
2376,03-02,2020-03-02,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,5,0.0
2377,03-10,2020-03-10,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,6,4.0
2378,03-12,2020-03-12,Worcester,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,3,0.0
2379,03-13,2020-03-13,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,3,0.0
2380,03-14,2020-03-14,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,8,2.0
