,ENCOUNTER_FACILITY_NAME,ENCOUNTER_FACILITY_STREET,ENCOUNTER_FACILITY_CITY,ENCOUNTER_FACILITY_STATE,ENCOUNTER_FACILITY_ZIP,facility_county,yyyy_mm_dd,mm_dd,mem_cnt
1762,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,Middlesex,2020-03-12,03-12,1
1763,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,Middlesex,2020-03-04,03-04,2
1764,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,Middlesex,2020-03-11,03-11,1
1765,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,Middlesex,2020-03-05,03-05,1
1766,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,Middlesex,2020-01-13,01-13,1
1767,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,Middlesex,2020-02-11,02-11,2
1768,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,Middlesex,2020-03-01,03-01,1
1769,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,Middlesex,2020-02-21,02-21,1
1770,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,Middlesex,2020-01-02,01-02,1
1771,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,Middlesex,2020-01-07,01-07,1
1772,Harbor House Nursing & Rehab Center - SNF,11 Condito Rd,Hingham,MA,02043,Plymouth,2020-01-08,01-08,1
1773,Harbor House Nursing & Rehab Center - SNF,11 Condito Rd,Hingham,MA,02043,Plymouth,2020-03-17,03-17,2
1774,Harbor House Nursing & Rehab Center - SNF,11 Condito Rd,Hingham,MA,02043,Plymouth,2020-03-05,03-05,1
1775,Harbor House Nursing & Rehab Center - SNF,11 Condito Rd,Hingham,MA,02043,Plymouth,2020-02-20,02-20,1
1776,Harbor House Nursing & Rehab Center - SNF,11 Condito Rd,Hingham,MA,02043,Plymouth,2020-03-09,03-09,1
1777,Queen Anne Nursing Home - SNF,50 Recreation Park Dr.,Hingham,MA,02043,Plymouth,2020-02-28,02-28,1
1778,Harbor House Nursing & Rehab Center - SNF,11 Condito Rd,Hingham,MA,02043,Plymouth,2020-01-01,01-01,1
1779,Queen Anne Nursing Home - SNF,50 Recreation Park Dr.,Hingham,MA,02043,Plymouth,2020-03-17,03-17,1
1780,Harbor House Nursing & Rehab Center - SNF,11 Condito Rd,Hingham,MA,02043,Plymouth,2020-02-13,02-13,1
1781,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-16,02-16,3
1782,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-09,02-09,2
1783,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-01,03-01,2
1784,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-04,01-04,2
1785,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-03,01-03,1
1786,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-07,02-07,2
1787,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-18,01-18,1
1788,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-10,03-10,1
1789,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-12,03-12,3
1790,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-28,02-28,3
1791,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-19,03-19,2
1792,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-13,02-13,2
1793,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-10,01-10,1
1794,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-06,02-06,3
1795,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-16,01-16,1
1796,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-21,01-21,1
1797,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-03,03-03,1
1798,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-20,03-20,2
1799,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-05,01-05,3
1800,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-24,01-24,3
1801,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-09,03-09,1
1802,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-06,03-06,3
1803,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-31,01-31,2
1804,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-01,01-01,4
1805,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-08,01-08,3
1806,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-02,03-02,1
1807,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-27,01-27,1
1808,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-22,03-22,1
1809,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-05,02-05,4
1810,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-06,01-06,1
1811,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-02,01-02,1
1812,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-01,02-01,2
1813,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-07,01-07,1
1814,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-10,02-10,2
1815,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-19,01-19,2
1816,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-04,03-04,2
1817,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-13,03-13,2
1818,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-17,01-17,1
1819,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-02,02-02,1
1820,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-11,03-11,2
1821,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-04,02-04,1
1822,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-09,01-09,1
1823,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-22,01-22,1
1824,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-05,03-05,2
1825,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-14,03-14,1
1826,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-13,01-13,1
1827,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-29,01-29,1
1828,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-25,01-25,1
1829,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-02-20,02-20,2
1830,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-03-15,03-15,1
1831,Athol Hospital,2033 Main St,Athol,MA,01331,Worcester,2020-01-11,01-11,1
1832,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-10,02-10,5
1833,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-18,01-18,1
1834,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-28,02-28,3
1835,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-02,03-02,1
1836,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-27,01-27,5
1837,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-07,01-07,3
1838,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-19,03-19,1
1839,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-18,03-18,1
1840,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-26,01-26,3
1841,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-02,02-02,2
1842,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-02,01-02,2
1843,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-13,03-13,2
1844,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-16,01-16,3
1845,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-03,03-03,8
1846,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-31,01-31,2
1847,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-03,02-03,1
1848,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-25,02-25,3
1849,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-04,01-04,2
1850,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-23,02-23,2
1851,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-01,02-01,1
1852,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-23,01-23,1
1853,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-07,03-07,3
1854,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-15,01-15,1
1855,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-11,02-11,2
1856,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-05,03-05,4
1857,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-22,01-22,2
1858,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-17,03-17,1
1859,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-16,02-16,1
1860,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-23,03-23,1
1861,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-10,01-10,2
1862,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-09,03-09,1
1863,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-30,01-30,3
1864,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-03,01-03,1
1865,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-11,01-11,2
1866,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-04,03-04,3
1867,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-11,03-11,2
1868,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-10,03-10,1
1869,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-01,03-01,3
1870,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-24,01-24,1
1871,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-01,01-01,2
1872,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-04,02-04,1
1873,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-14,03-14,2
1874,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-19,01-19,3
1875,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-07,02-07,1
1876,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-20,01-20,1
1877,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-06,01-06,3
1878,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-25,01-25,1
1879,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-29,01-29,1
1880,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-21,02-21,2
1881,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-20,02-20,1
1882,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-03-12,03-12,1
1883,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-14,01-14,2
1884,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-28,01-28,1
1885,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-02-18,02-18,1
1886,Tobey Hospital,43 High Street,Wareham,MA,02571,Plymouth,2020-01-05,01-05,1
1887,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-13,03-13,5
1888,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-19,03-19,2
1889,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-08,01-08,4
1890,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-01,02-01,6
1891,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-28,01-28,6
1892,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-05,02-05,6
1893,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-31,01-31,5
1894,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-27,01-27,4
1895,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-21,01-21,3
1896,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-20,02-20,4
1897,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-06,02-06,4
1898,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-13,02-13,3
1899,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-06,03-06,3
1900,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-03,02-03,3
1901,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-10,02-10,3
1902,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-09,03-09,5
1903,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-20,01-20,2
1904,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-02,03-02,4
1905,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-09,01-09,1
1906,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-04,01-04,3
1907,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-01,01-01,1
1908,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-02,01-02,1
1909,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-26,01-26,7
1910,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-03,01-03,3
1911,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-24,01-24,3
1912,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-10,03-10,5
1913,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-06,01-06,1
1914,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-07,03-07,5
1915,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-22,01-22,4
1916,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-01,03-01,3
1917,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-30,01-30,5
1918,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-04,02-04,3
1919,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-12,03-12,5
1920,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-14,03-14,2
1921,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-11,01-11,9
1922,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-18,02-18,4
1923,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-16,01-16,3
1924,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-15,01-15,6
1925,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-08,03-08,3
1926,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-19,01-19,2
1927,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-10,01-10,3
1928,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-16,03-16,4
1929,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-05,03-05,3
1930,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-18,01-18,4
1931,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-16,02-16,2
1932,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-13,01-13,2
1933,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-17,01-17,2
1934,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-25,02-25,1
1935,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-25,01-25,3
1936,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-05,01-05,1
1937,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-23,03-23,2
1938,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-22,03-22,3
1939,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-21,02-21,1
1940,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-28,02-28,2
1941,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-02,02-02,2
1942,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-29,01-29,2
1943,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-07,01-07,3
1944,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-07,02-07,3
1945,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-09,02-09,2
1946,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-11,03-11,2
1947,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-14,01-14,2
1948,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-02-23,02-23,2
1949,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-03,03-03,3
1950,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-04,03-04,1
1951,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-15,03-15,3
1952,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-21,03-21,1
1953,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-20,03-20,1
1954,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-03-24,03-24,2
1955,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,Hampden,2020-01-23,01-23,1
1956,Lawrence Memorial Hospital of Medford,170 Governors Avenue,Medford,MA,02155,Middlesex,2020-02-01,02-01,1
1957,Lawrence Memorial Hospital of Medford,170 Governors Avenue,Medford,MA,02155,Middlesex,2020-01-31,01-31,1
1958,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-20,02-20,7
1959,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-25,02-25,10
1960,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-18,03-18,4
1961,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-16,02-16,13
1962,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-09,01-09,16
1963,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-10,01-10,19
1964,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-01,01-01,15
1965,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-02,01-02,8
1966,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-02,02-02,6
1967,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-04,02-04,8
1968,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-30,01-30,4
1969,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-02,03-02,7
1970,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-05,02-05,6
1971,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-28,01-28,13
1972,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-07,01-07,15
1973,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-15,01-15,11
1974,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-05,03-05,10
1975,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-08,01-08,12
1976,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-09,02-09,7
1977,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-18,02-18,9
1978,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-19,01-19,6
1979,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-21,02-21,12
1980,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-03,01-03,12
1981,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-29,01-29,13
1982,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-11,01-11,13
1983,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-07,02-07,8
1984,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-22,01-22,12
1985,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-26,01-26,13
1986,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-01,02-01,6
1987,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-01,03-01,3
1988,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-21,01-21,8
1989,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-07,03-07,10
1990,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-31,01-31,9
1991,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-06,01-06,9
1992,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-13,01-13,12
1993,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-13,02-13,7
1994,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-17,01-17,7
1995,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-04,03-04,11
1996,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-06,03-06,10
1997,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-04,01-04,4
1998,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-05,01-05,12
1999,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-03,03-03,9
2000,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-06,02-06,9
2001,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-22,03-22,6
2002,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-28,02-28,6
2003,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-18,01-18,10
2004,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-11,02-11,6
2005,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-19,03-19,9
2006,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-23,03-23,5
2007,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-12,03-12,11
2008,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-14,01-14,12
2009,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-10,02-10,8
2010,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-08,03-08,6
2011,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-09,03-09,12
2012,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-20,01-20,9
2013,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-20,03-20,3
2014,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-16,01-16,7
2015,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-25,01-25,6
2016,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-24,01-24,6
2017,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-13,03-13,6
2018,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-24,03-24,7
2019,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-03,02-03,5
2020,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-16,03-16,4
2021,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-23,01-23,6
2022,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-01-27,01-27,8
2023,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-10,03-10,7
2024,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-17,03-17,5
2025,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-11,03-11,6
2026,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-15,03-15,3
2027,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-03-21,03-21,6
2028,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,Plymouth,2020-02-23,02-23,4
